
排名,名称,链接,星级,评分,评价人数
1,肖申克的救赎,https://movie.douban.com/subject/1292052/,5,9.7,2200359
2,霸王别姬,https://movie.douban.com/subject/1291546/,5,9.6,1632404
3,阿甘正传,https://movie.douban.com/subject/1292720/,5,9.5,1659013
4,这个杀手不太冷,https://movie.douban.com/subject/1295644/,4.5,9.4,1842906
5,泰坦尼克号,https://movie.douban.com/subject/1292722/,4.5,9.4,1614990
6,美丽人生,https://movie.douban.com/subject/1292063/,5,9.5,1028024
7,千与千寻,https://movie.douban.com/subject/1291561/,4.5,9.4,1729307
8,辛德勒的名单,https://movie.douban.com/subject/1295124/,5,9.5,846132
9,盗梦空间,https://movie.douban.com/subject/3541415/,4.5,9.3,1611751
10,忠犬八公的故事,https://movie.douban.com/subject/3011091/,4.5,9.4,1101202
11,海上钢琴师,https://movie.douban.com/subject/1292001/,4.5,9.3,1312917
12,星际穿越,https://movie.douban.com/subject/1889243/,4.5,9.3,1283914
13,楚门的世界,https://movie.douban.com/subject/1292064/,4.5,9.3,1197131
14,三傻大闹宝莱坞,https://movie.douban.com/subject/3793023/,4.5,9.2,1467621
15,机器人总动员,https://movie.douban.com/subject/2131459/,4.5,9.3,1034957
16,放牛班的春天,https://movie.douban.com/subject/1291549/,4.5,9.3,1018835
17,大话西游之大圣娶亲,https://movie.douban.com/subject/1292213/,4.5,9.2,1174162
18,熔炉,https://movie.douban.com/subject/5912992/,4.5,9.3,719054
19,疯狂动物城,https://movie.douban.com/subject/25662329/,4.5,9.2,1414467
20,无间道,https://movie.douban.com/subject/1307914/,4.5,9.2,963389
21,教父,https://movie.douban.com/subject/1291841/,4.5,9.3,718771
22,龙猫,https://movie.douban.com/subject/1291560/,4.5,9.2,981670
23,当幸福来敲门,https://movie.douban.com/subject/1849031/,4.5,9.1,1181765
24,怦然心动,https://movie.douban.com/subject/3319755/,4.5,9.1,1378791
25,触不可及,https://movie.douban.com/subject/6786002/,4.5,9.2,765249
26,控方证人,https://movie.douban.com/subject/1296141/,5,9.6,325496
27,蝙蝠侠：黑暗骑士,https://movie.douban.com/subject/1851857/,4.5,9.2,800064
28,活着,https://movie.douban.com/subject/1292365/,4.5,9.3,621456
29,末代皇帝,https://movie.douban.com/subject/1293172/,4.5,9.3,590874
30,寻梦环游记,https://movie.douban.com/subject/20495023/,4.5,9.1,1191815
31,乱世佳人,https://movie.douban.com/subject/1300267/,4.5,9.3,528224
32,何以为家,https://movie.douban.com/subject/30170448/,4.5,9.1,751901
33,指环王3：王者无敌,https://movie.douban.com/subject/1291552/,4.5,9.2,582784
34,摔跤吧！爸爸,https://movie.douban.com/subject/26387939/,4.5,9.0,1210766
35,飞屋环游记,https://movie.douban.com/subject/2129039/,4.5,9.0,1026499
36,少年派的奇幻漂流,https://movie.douban.com/subject/1929463/,4.5,9.1,1088672
37,哈利·波特与魔法石,https://movie.douban.com/subject/1295038/,4.5,9.1,792123
38,十二怒汉,https://movie.douban.com/subject/1293182/,4.5,9.4,353007
39,素媛,https://movie.douban.com/subject/21937452/,4.5,9.3,490695
40,鬼子来了,https://movie.douban.com/subject/1291858/,4.5,9.3,474510
41,哈尔的移动城堡,https://movie.douban.com/subject/1308807/,4.5,9.1,757072
42,天空之城,https://movie.douban.com/subject/1291583/,4.5,9.1,647952
43,大话西游之月光宝盒,https://movie.douban.com/subject/1299398/,4.5,9.0,936058
44,我不是药神,https://movie.douban.com/subject/26752088/,4.5,9.0,1610652
45,闻香识女人,https://movie.douban.com/subject/1298624/,4.5,9.1,655579
46,罗马假日,https://movie.douban.com/subject/1293839/,4.5,9.0,749027
47,天堂电影院,https://movie.douban.com/subject/1291828/,4.5,9.2,499631
